Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1784165042452975.195	,1784165042452975.215	
0,N/A,TASK_TIMEOUT_SET,49,4,105.382,1784165042460176.859	,1784165042460282.241	
0,N/A,KERNEL_AICPU,43,0,3094.341,1784165044216096.562	,1784165044219190.904	
0,N/A,EVENT_WAIT,43,1,3.980,1784165044219427.089	,1784165044219431.069	
0,N/A,EVENT_RECORD,46,0,0.020,1784165044219430.629	,1784165044219430.649	
0,N/A,EVENT_WAIT,42,0,0.000,1784165044219434.169	,1784165044219434.169	
0,N/A,KERNEL_AICPU,42,1,311.346,1784165044219440.709	,1784165044219752.055	
0,N/A,KERNEL_AICPU,43,2,394.927,1784165044219453.309	,1784165044219848.237	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,1,281.145,1784165044219558.351	,1784165044219839.497	
0,N/A,EVENT_WAIT,43,3,1.780,1784165044219906.818	,1784165044219908.598	
0,N/A,EVENT_RECORD,46,2,0.020,1784165044219908.158	,1784165044219908.178	
0,N/A,EVENT_WAIT,42,2,0.000,1784165044219913.698	,1784165044219913.698	
0,N/A,KERNEL_AICPU,42,3,124.302,1784165044219920.239	,1784165044220044.541	
0,N/A,KERNEL_AICPU,43,4,230.704,1784165044219932.879	,1784165044220163.583	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,3,184.043,1784165044219940.719	,1784165044220124.763	
0,N/A,EVENT_WAIT,42,4,8.360,1784165044220118.363	,1784165044220126.723	
0,N/A,EVENT_RECORD,46,4,0.020,1784165044220126.263	,1784165044220126.283	
0,N/A,KERNEL_AICPU,42,5,98.601,1784165044220126.823	,1784165044220225.425	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,5,166.003,1784165044220138.763	,1784165044220304.766	
0,N/A,EVENT_WAIT,43,5,0.000,1784165044220163.623	,1784165044220163.623	
0,N/A,KERNEL_AICPU,43,6,146.522,1784165044220163.663	,1784165044220310.186	
0,N/A,EVENT_WAIT,42,6,11.420,1784165044220295.586	,1784165044220307.006	
0,N/A,EVENT_RECORD,46,6,0.020,1784165044220306.566	,1784165044220306.586	
0,N/A,KERNEL_AICPU,42,7,73.001,1784165044220307.106	,1784165044220380.108	
0,N/A,EVENT_WAIT,43,7,0.020,1784165044220310.206	,1784165044220310.226	
0,N/A,KERNEL_AICPU,43,8,149.662,1784165044220310.246	,1784165044220459.909	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,7,139.962,1784165044220316.086	,1784165044220456.049	
0,N/A,EVENT_WAIT,43,9,8.100,1784165044220478.710	,1784165044220486.810	
0,N/A,EVENT_RECORD,46,8,0.020,1784165044220486.370	,1784165044220486.390	
0,N/A,KERNEL_AICPU,43,10,158.803,1784165044220491.730	,1784165044220650.533	
0,N/A,EVENT_WAIT,42,8,0.020,1784165044220493.230	,1784165044220493.250	
0,N/A,KERNEL_AICPU,42,9,65.081,1784165044220499.710	,1784165044220564.791	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,9,137.722,1784165044220504.970	,1784165044220642.693	
0,N/A,EVENT_WAIT,43,11,20.740,1784165044220650.573	,1784165044220671.314	
0,N/A,EVENT_WAIT,42,10,17.400,1784165044220653.813	,1784165044220671.214	
0,N/A,EVENT_RECORD,46,10,0.020,1784165044220670.754	,1784165044220670.774	
0,N/A,KERNEL_AICPU,42,11,62.521,1784165044220671.294	,1784165044220733.815	
0,N/A,KERNEL_AICPU,43,12,148.682,1784165044220672.794	,1784165044220821.477	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,11,137.302,1784165044220678.274	,1784165044220815.576	
0,N/A,EVENT_WAIT,42,12,12.980,1784165044220804.996	,1784165044220817.976	
0,N/A,EVENT_RECORD,46,12,0.020,1784165044220817.516	,1784165044220817.536	
0,N/A,KERNEL_AICPU,42,13,59.961,1784165044220818.076	,1784165044220878.038	
0,N/A,EVENT_WAIT,43,13,0.020,1784165044220821.497	,1784165044220821.517	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,13,133.382,1784165044220825.277	,1784165044220958.659	
0,N/A,KERNEL_AICPU,43,14,118.862,1784165044220843.277	,1784165044220962.139	
0,N/A,EVENT_WAIT,43,15,24.280,1784165044220964.599	,1784165044220988.880	
0,N/A,EVENT_WAIT,42,14,17.260,1784165044220971.520	,1784165044220988.780	
0,N/A,EVENT_RECORD,46,14,0.020,1784165044220988.320	,1784165044220988.340	
0,N/A,KERNEL_AICPU,42,15,72.001,1784165044220988.880	,1784165044221060.881	
0,N/A,KERNEL_AICPU,43,16,153.163,1784165044220990.280	,1784165044221143.443	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,15,141.942,1784165044220995.960	,1784165044221137.903	
0,N/A,EVENT_WAIT,42,16,26.300,1784165044221113.682	,1784165044221139.983	
0,N/A,EVENT_RECORD,46,16,0.020,1784165044221139.523	,1784165044221139.543	
0,N/A,KERNEL_AICPU,42,17,54.641,1784165044221140.083	,1784165044221194.724	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,17,135.222,1784165044221140.723	,1784165044221275.946	
0,N/A,EVENT_WAIT,43,17,0.020,1784165044221143.463	,1784165044221143.483	
0,N/A,KERNEL_AICPU,43,18,138.162,1784165044221143.503	,1784165044221281.666	
0,N/A,EVENT_WAIT,42,18,26.100,1784165044221251.985	,1784165044221278.086	
0,N/A,EVENT_RECORD,46,18,0.020,1784165044221277.606	,1784165044221277.626	
0,N/A,KERNEL_AICPU,42,19,56.561,1784165044221278.166	,1784165044221334.727	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,19,135.522,1784165044221278.806	,1784165044221414.328	
0,N/A,EVENT_WAIT,43,19,0.020,1784165044221281.686	,1784165044221281.706	
0,N/A,KERNEL_AICPU,43,20,135.662,1784165044221281.726	,1784165044221417.388	
0,N/A,EVENT_WAIT,42,20,28.460,1784165044221387.668	,1784165044221416.128	
0,N/A,EVENT_RECORD,46,20,0.020,1784165044221415.648	,1784165044221415.668	
0,N/A,KERNEL_AICPU,42,21,66.321,1784165044221416.208	,1784165044221482.530	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,21,146.082,1784165044221416.848	,1784165044221562.931	
0,N/A,EVENT_WAIT,43,21,0.000,1784165044221417.428	,1784165044221417.428	
0,N/A,KERNEL_AICPU,43,22,152.163,1784165044221417.468	,1784165044221569.632	
0,N/A,EVENT_WAIT,42,22,35.260,1784165044221529.851	,1784165044221565.111	
0,N/A,EVENT_RECORD,46,22,0.020,1784165044221564.631	,1784165044221564.651	
0,N/A,KERNEL_AICPU,42,23,61.261,1784165044221565.191	,1784165044221626.453	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,23,140.162,1784165044221565.831	,1784165044221705.994	
