Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1784164789331318.396	,1784164789331318.396	
0,mul_kernel,KERNEL_AIVEC,46,0,14.100,1784164789341597.642	,1784164789341611.742	
0,mul_kernel,KERNEL_AIVEC,46,1,9.820,1784164789341612.442	,1784164789341622.262	
0,mul_kernel,KERNEL_AIVEC,46,2,4.740,1784164789341623.002	,1784164789341627.742	
0,mul_kernel,KERNEL_AIVEC,46,3,4.880,1784164789341628.442	,1784164789341633.322	
0,mul_kernel,KERNEL_AIVEC,46,4,4.580,1784164789341634.022	,1784164789341638.602	
0,mul_kernel,KERNEL_AIVEC,46,5,4.820,1784164789341639.362	,1784164789341644.182	
0,mul_kernel,KERNEL_AIVEC,46,6,4.600,1784164789341644.883	,1784164789341649.483	
0,mul_kernel,KERNEL_AIVEC,46,7,5.180,1784164789341650.183	,1784164789341655.363	
0,mul_kernel,KERNEL_AIVEC,46,8,4.800,1784164789341656.103	,1784164789341660.903	
0,mul_kernel,KERNEL_AIVEC,46,9,4.840,1784164789341661.623	,1784164789341666.463	
0,mul_kernel,KERNEL_AIVEC,46,10,4.680,1784164789341667.163	,1784164789341671.843	
0,mul_kernel,KERNEL_AIVEC,46,11,5.180,1784164789341672.543	,1784164789341677.723	
0,mul_kernel,KERNEL_AIVEC,46,12,4.600,1784164789341678.423	,1784164789341683.023	
0,mul_kernel,KERNEL_AIVEC,46,13,4.700,1784164789341683.723	,1784164789341688.423	
0,mul_kernel,KERNEL_AIVEC,46,14,4.560,1784164789341689.983	,1784164789341694.543	
0,mul_kernel,KERNEL_AIVEC,46,15,4.820,1784164789341696.404	,1784164789341701.224	
0,mul_kernel,KERNEL_AIVEC,46,16,4.680,1784164789341702.904	,1784164789341707.584	
0,mul_kernel,KERNEL_AIVEC,46,17,4.840,1784164789341709.364	,1784164789341714.204	
0,mul_kernel,KERNEL_AIVEC,46,18,4.720,1784164789341715.864	,1784164789341720.584	
0,mul_kernel,KERNEL_AIVEC,46,19,4.920,1784164789341722.504	,1784164789341727.424	
0,mul_kernel,KERNEL_AIVEC,46,20,4.620,1784164789341729.024	,1784164789341733.644	
0,mul_kernel,KERNEL_AIVEC,46,21,4.780,1784164789341735.424	,1784164789341740.204	
0,mul_kernel,KERNEL_AIVEC,46,22,4.620,1784164789341742.004	,1784164789341746.625	
0,mul_kernel,KERNEL_AIVEC,46,23,4.860,1784164789341748.545	,1784164789341753.405	
0,mul_kernel,KERNEL_AIVEC,46,24,4.740,1784164789341755.145	,1784164789341759.885	
0,mul_kernel,KERNEL_AIVEC,46,25,5.260,1784164789341761.545	,1784164789341766.805	
0,mul_kernel,KERNEL_AIVEC,46,26,4.680,1784164789341767.985	,1784164789341772.665	
0,mul_kernel,KERNEL_AIVEC,46,27,4.860,1784164789341774.325	,1784164789341779.185	
0,mul_kernel,KERNEL_AIVEC,46,28,4.600,1784164789341780.905	,1784164789341785.505	
0,mul_kernel,KERNEL_AIVEC,46,29,4.720,1784164789341787.605	,1784164789341792.325	
0,mul_kernel,KERNEL_AIVEC,46,30,4.900,1784164789341794.045	,1784164789341798.946	
0,mul_kernel,KERNEL_AIVEC,46,31,4.720,1784164789341800.526	,1784164789341805.246	
0,mul_kernel,KERNEL_AIVEC,46,32,4.640,1784164789341807.126	,1784164789341811.766	
0,mul_kernel,KERNEL_AIVEC,46,33,4.740,1784164789341813.866	,1784164789341818.606	
0,mul_kernel,KERNEL_AIVEC,46,34,4.680,1784164789341820.746	,1784164789341825.426	
0,mul_kernel,KERNEL_AIVEC,46,35,4.740,1784164789341827.406	,1784164789341832.146	
0,mul_kernel,KERNEL_AIVEC,46,36,4.720,1784164789341834.166	,1784164789341838.886	
0,mul_kernel,KERNEL_AIVEC,46,37,4.940,1784164789341840.806	,1784164789341845.747	
0,mul_kernel,KERNEL_AIVEC,46,38,4.680,1784164789341847.567	,1784164789341852.247	
0,mul_kernel,KERNEL_AIVEC,46,39,4.980,1784164789341854.267	,1784164789341859.247	
0,mul_kernel,KERNEL_AIVEC,46,40,4.700,1784164789341860.987	,1784164789341865.687	
0,mul_kernel,KERNEL_AIVEC,46,41,5.120,1784164789341867.707	,1784164789341872.827	
0,mul_kernel,KERNEL_AIVEC,46,42,4.540,1784164789341874.227	,1784164789341878.767	
0,mul_kernel,KERNEL_AIVEC,46,43,4.800,1784164789341880.707	,1784164789341885.507	
0,mul_kernel,KERNEL_AIVEC,46,44,4.680,1784164789341887.307	,1784164789341891.987	
0,mul_kernel,KERNEL_AIVEC,46,45,4.700,1784164789341894.207	,1784164789341898.908	
0,mul_kernel,KERNEL_AIVEC,46,46,4.680,1784164789341900.828	,1784164789341905.508	
0,mul_kernel,KERNEL_AIVEC,46,47,4.880,1784164789341907.468	,1784164789341912.348	
0,mul_kernel,KERNEL_AIVEC,46,48,4.640,1784164789341913.908	,1784164789341918.548	
0,mul_kernel,KERNEL_AIVEC,46,49,4.820,1784164789341920.488	,1784164789341925.308	
0,mul_kernel,KERNEL_AIVEC,46,50,4.660,1784164789341926.948	,1784164789341931.608	
0,mul_kernel,KERNEL_AIVEC,46,51,4.780,1784164789341933.628	,1784164789341938.408	
0,mul_kernel,KERNEL_AIVEC,46,52,4.720,1784164789341940.208	,1784164789341944.929	
0,mul_kernel,KERNEL_AIVEC,46,53,4.860,1784164789341946.709	,1784164789341951.569	
0,mul_kernel,KERNEL_AIVEC,46,54,4.740,1784164789341953.369	,1784164789341958.109	
0,mul_kernel,KERNEL_AIVEC,46,55,5.000,1784164789341959.849	,1784164789341964.849	
0,mul_kernel,KERNEL_AIVEC,46,56,4.720,1784164789341966.429	,1784164789341971.149	
0,mul_kernel,KERNEL_AIVEC,46,57,4.740,1784164789341972.869	,1784164789341977.609	
0,mul_kernel,KERNEL_AIVEC,46,58,4.640,1784164789341979.389	,1784164789341984.029	
0,mul_kernel,KERNEL_AIVEC,46,59,4.840,1784164789341985.949	,1784164789341990.789	
0,mul_kernel,KERNEL_AIVEC,46,60,4.640,1784164789341992.489	,1784164789341997.130	
0,mul_kernel,KERNEL_AIVEC,46,61,4.700,1784164789341999.130	,1784164789342003.830	
0,mul_kernel,KERNEL_AIVEC,46,62,4.720,1784164789342005.530	,1784164789342010.250	
0,mul_kernel,KERNEL_AIVEC,46,63,4.760,1784164789342012.090	,1784164789342016.850	
0,mul_kernel,KERNEL_AIVEC,46,64,4.740,1784164789342018.550	,1784164789342023.290	
0,mul_kernel,KERNEL_AIVEC,46,65,4.880,1784164789342025.350	,1784164789342030.230	
0,mul_kernel,KERNEL_AIVEC,46,66,4.700,1784164789342032.130	,1784164789342036.830	
0,mul_kernel,KERNEL_AIVEC,46,67,4.880,1784164789342038.790	,1784164789342043.670	
0,mul_kernel,KERNEL_AIVEC,46,68,4.620,1784164789342045.491	,1784164789342050.111	
0,mul_kernel,KERNEL_AIVEC,46,69,4.780,1784164789342052.111	,1784164789342056.891	
0,mul_kernel,KERNEL_AIVEC,46,70,4.620,1784164789342062.551	,1784164789342067.171	
0,mul_kernel,KERNEL_AIVEC,46,71,4.800,1784164789342069.091	,1784164789342073.891	
0,mul_kernel,KERNEL_AIVEC,46,72,4.780,1784164789342075.891	,1784164789342080.671	
0,mul_kernel,KERNEL_AIVEC,46,73,4.860,1784164789342082.391	,1784164789342087.251	
0,mul_kernel,KERNEL_AIVEC,46,74,4.660,1784164789342089.051	,1784164789342093.711	
0,mul_kernel,KERNEL_AIVEC,46,75,4.820,1784164789342095.632	,1784164789342100.452	
0,mul_kernel,KERNEL_AIVEC,46,76,4.600,1784164789342102.192	,1784164789342106.792	
0,mul_kernel,KERNEL_AIVEC,46,77,4.740,1784164789342108.932	,1784164789342113.672	
0,mul_kernel,KERNEL_AIVEC,46,78,4.600,1784164789342115.372	,1784164789342119.972	
0,mul_kernel,KERNEL_AIVEC,46,79,4.880,1784164789342121.932	,1784164789342126.812	
0,mul_kernel,KERNEL_AIVEC,46,80,4.680,1784164789342128.252	,1784164789342132.932	
0,mul_kernel,KERNEL_AIVEC,46,81,4.920,1784164789342134.692	,1784164789342139.612	
0,mul_kernel,KERNEL_AIVEC,46,82,4.740,1784164789342141.272	,1784164789342146.013	
0,mul_kernel,KERNEL_AIVEC,46,83,4.940,1784164789342147.733	,1784164789342152.673	
0,mul_kernel,KERNEL_AIVEC,46,84,4.620,1784164789342154.213	,1784164789342158.833	
0,mul_kernel,KERNEL_AIVEC,46,85,4.820,1784164789342160.553	,1784164789342165.373	
0,mul_kernel,KERNEL_AIVEC,46,86,4.580,1784164789342167.273	,1784164789342171.853	
0,mul_kernel,KERNEL_AIVEC,46,87,4.940,1784164789342173.713	,1784164789342178.653	
0,mul_kernel,KERNEL_AIVEC,46,88,4.760,1784164789342180.113	,1784164789342184.873	
